Source,Gene
ENSG00000001167,NFYA
ENSG00000001630,CYP51A1
ENSG00000005339,CREBBP
ENSG00000012174,MBTPS2
ENSG00000066136,NFYC
ENSG00000067064,IDI1
ENSG00000072310,SREBF1
ENSG00000076555,ACACB
ENSG00000079459,FDFT1
ENSG00000082014,SMARCD3
ENSG00000084676,NCOA1
ENSG00000099194,SCD
ENSG00000100934,SEC23A
ENSG00000101849,TBL1X
ENSG00000104549,SQLE
ENSG00000108424,KPNB1
ENSG00000109929,SC5D
ENSG00000110921,MVK
ENSG00000112972,HMGCS1
ENSG00000113161,HMGCR
ENSG00000113615,SEC24A
ENSG00000114650,SCAP
ENSG00000119927,GPAM
ENSG00000120837,NFYB
ENSG00000125629,INSIG2
ENSG00000125686,MED1
ENSG00000130589,HELZ2
ENSG00000132142,
ENSG00000132341,RAN
ENSG00000137574,TGS1
ENSG00000138802,SEC24B
ENSG00000140396,NCOA2
ENSG00000140943,MBTPS1
ENSG00000142453,CARM1
ENSG00000149809,TM7SF2
ENSG00000150961,SEC24D
ENSG00000152700,SAR1B
ENSG00000152904,GGPS1
ENSG00000160285,LSS
ENSG00000160752,FDPS
ENSG00000163344,PMVK
ENSG00000167508,MVD
ENSG00000169710,FASN
ENSG00000170522,ELOVL6
ENSG00000172893,DHCR7
ENSG00000176986,SEC24C
ENSG00000177200,CHD9
ENSG00000177565,TBL1XR1
ENSG00000185591,SP1
ENSG00000186350,RXRA
ENSG00000186480,INSIG1
ENSG00000186951,PPARA
ENSG00000188786,MTF1
ENSG00000198646,NCOA6
ENSG00000198911,SREBF2
ENSG00000275176,ACACA
ENSG00000278540,ACACA
ENSG00000284967,FDFT1
